batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,lowe.dat - suritasarapist69,"@pkbsbl24, fyp, therealcoolspot, glitch, newtrend, viral, trending, glitchoverlord, glitchapocalypse, new",therealcoolspot,399200,2440,31800,1339
1,7,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,387900,718,24500,342
2,6,,"fyp, foryou, mariokart8deluxe, gaming, meme, memecut",,430300,2063,45500,47000
2,7,,"fyp%E3%82%B7, foryourpage, foryou, fyp",,213100,542,11600,1939
2,12,,"meme, fyp, mascot, dancing, dream, real, relateable, school, job, foryou",,2500000,26500,280300,75100
2,18,,"fyp, foryou, funnyvideos, pov, fyp%E3%82%B7, funny, fypage",,236300,738,14300,511
2,22,,"fyp, foryou, foryoupage",,6100000,53600,490300,110200
2,23,,"fyp, colorfulhair, viral, sunsethaircolor, zyxcba, hairdye, adorehairdye, newhaircolor, sunsetcolors, purplesunset",,988000,4656,80600,6239
2,27,,"fyp, viral, azul",,487400,2964,57100,6006
2,28,,"fyp, xyzbca, viral",,1900000,9163,156800,17100
3,0,son original - Acoustic Music Song,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",lauren.canty,113100,5945,5992,1687
3,7,The Box - Roddy Ricch,"@maria.stinkt, howtolacesneakers, shoeslaces, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, viral, jordan4, from, cocokick",coco_kick.io,244600,708,48300,6840
3,10,Storytelling - Adriel,"trending, gaming, viral, fortnite, fyp, foryou, foryoupage, foxman, fortnitetipsandtricks, fortnitesettings, xyzbca, chapter5, controller, fortnitetips",foxman1x,37900,293,4118,66
3,11,original sound - family_guy_clips_only2,"betta, bettafish, fishtank, bettatok, properbettacare, fishtok, fyp, fypp, foryou, foryoupage, fypage",sillybillybettas,149900,148,4419,294
3,22,original sound - 4funziez,"fyp, foryou, memes, driving, baddrivers, elmodriving, capcut, trending",kaitlynnpaige3,346300,1278,22200,15200
3,26,original sound - Chris Martin's shop,"dinosaur, fyp, foryou, dogoftheday, furryfandom, furrytiktok",originalchrismartin,1100000,3928,74600,88600
3,27,original sound - ❣️,"capcut, templates, real, god, godisgreat, viral, jesuslovesyou, foryoupage, fyp%E3%82%B7",areliss.shh,103900,374,10800,774
3,28,original sound - abeardedman,"fyp, foryoupage, motivation, foryou, fyp%E3%82%B7, trending, viral",abeardedmanofficial,617600,3264,45300,11400
