batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - JUAN GZ,"prank, college, coldapproach, rizz, pickupline",thatwasepic_shorts,373300,2943,34100,2509
1,1,Love You So - The King Khan & BBQ Show,"oktoberfest, oktoberfest2023, devilswheel, festival, bullriding, teufelsrad, munich, germany",funny.game.90,25100,225,2482,764
1,2,original sound - hunjoe,,hunjoe,71100,290,5323,1121
1,3,original sound - lara rose,"fyp, skit",littleprincesspoppyy,82000,297,13200,391
1,4,Baby Tate SHO Open Verse - Baby Tate,,breckiehill,325200,1666,12900,918
1,5,Então Vai - Zé Felipe & Luan Pereira & DENNIS,,luanpereiracantor,311700,3184,10600,7300
1,6,sunet original - Victor drx99,"zyxcba, fyp",levi_neal14,573000,3511,38600,2929
1,7,sonido original - Freestylenx,"nickinicole, pesopluma, anitta",freestylenx,46900,241,1625,81
1,8,original sound - …,,editbytyler,81400,0,7502,106
1,9,original sound - Upprovement,"toughquestion, cheatonher, snitch, streetinterview, betrayal",upprovement,336000,6552,34000,9365
2,0,original sound - hunjoe,,hunjoe,426100,1535,22800,6650
2,1,original sound - Christian Wulf,real,christiannwulf,2800000,13300,246500,49200
2,2,original sound - Stephen,,stephenmakesvideos,26800,16,425,13
2,3,original sound - AsadaTacoss,"latinos, growingupmexican, mexicanproblems, corridos, hispanicsbelike, mexicanos, latinomemes, growinguphispanic, mexicansbelike, hispanicmemes, latino, spanishpeoplebelike, latinosbelike, hispanic, mexicanfood, bandatelevision, mexicanmemes, growinguplatino, latina, mexican, fyp, fypage%E3%82%B7",asadatacoss,812200,5223,102100,13300
2,4,love maze - ‹ 3,"freenbecky, freen, becky, freensarocha, beckyarmstrong, becca, srchafreen, fy, fyp, foryou, viral, gl, wlw, lgbt, gay, gap, cute, event, uranus, theloyalpin, freenbeck",freenbeckypfk,5258,45,415,23
2,5,original sound - Fahad Kaleem,"fahaadk_, fahadspodcast, myparents_are_divorced",fahaadk_,60000,738,3995,967
2,6,оригинальный звук - Tommaximka,,maximmax915,1800000,12700,108600,77400
2,7,original sound - Snowwolf_jku,,snowwolf_jku,73900,189,5155,277
2,8,Love You So - The King Khan & BBQ Show,,czerbeoim,10000,258,1169,94
2,9,original sound - Horsemeetacademictips,fyp,horsemeetacademictips,19400,142,1066,246
2,10,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,sabyhesri,158200,1699,18500,327
2,11,original sound - LovelyLo,"warzone, warzone3, callofduty",imlovelylo,31500,78,1847,46
2,12,sweet caroline but dark academia - fingerbib,"fyp, moonball, satisfying, tiktokmademebuyit, fidgettoys",ultrabouncedropit,659000,27500,33800,2601
2,13,original sound - hunjoe,,hunjoe,230000,2723,24900,4831
2,14,My Love Mine All Mine - Mitski,"seizethelove, drdarryring, drring",ivanitaalomeli,447700,1002,30800,501
2,15,original sound - 승빈Seungbin,,hwangseungbin29,407900,1425,26800,827
2,16,original sound - tomas.coach,,tomas.coach,57900,145,7146,2151
2,17,Cry by Cigarettes After ___ - Your Audio Girl🎧💕,,marviiin_5,254300,2818,41400,3914
2,18,originalljud - ✨Sturniolo Triplets✨,"capcut, nicksturniolo, mattsturniolo, chrissturniolo, sturniolotriplets, sturniolo, triplets, fyp, foryou, sturniolotiktok, sturniolos, fyp%E3%82%B7, fanpage, sturniolofanpage, sturniolofan, sturniolocarvideo, @sturniolo.triplets, @mattsturniolo, @nicolassturniolo, @freshloveclothing",.sturniolo03triplets,47600,109,7790,128
2,19,original sound - Female Rap,"nickiminaj, barbz, viral, taylorswift, kanyewest, rap, fyp%E3%82%B7, fyp, foryou",femalerapquotes,820500,8754,48400,3845
2,20,original sound - TextsEveryDay,"@plug_ai, minecraftparkour, rizz, textingstories, texts",textsfella,15400,38,1560,41
2,21,original sound - wrldforeverjuice,"juicewrld, foryou, 999, juicewrldtok, juice",wrldforeverjuice,246200,1188,29300,1392
2,22,bent instrumental - ⚜️,"aesdr, relatable, viral, fyp, rizz",yourkute,410900,1499,36200,829
2,23,original sound - SH7,"fyp, foryou, sh7gang, wife",editsbysh7,152300,514,9285,12100
2,24,original sound - EX7STENCE™,,claraa.lndz,422500,2138,53000,2631
2,25,original sound - Country Pickinz,,caydencesmithofficial,984800,9117,159900,23900
2,26,sonido original - BoobaTV_ ☑️,"madrid, espa%C3%B1a, yfy, parati",boobatv_,6525,2,446,13
3,0,original sound - Memes!,,memesvid_usa1,990200,3321,99400,71100
3,1,original sound - Sky Bri Twitch Clips,"@skybribaby, skybri, skybritwitch, bradleymartyn, sarasaffari, nicknayersina",skybristreamclips,52700,238,2269,37
3,2,original sound - dawi,"nickiminaj, nicki, barbz",chorroqueen,279100,477,9879,141
3,3,original sound - mckinley richardson,@jackdoherty,mckinleyrichardson,35700,191,2465,28
3,4,original sound - Jaden cradle,greenscreen,jaden_cradle,157400,659,9923,226
3,5,original sound - jovynn,,redhairgorl,58100,155,7656,130
