batch,index,music,hashtag,author,likes,comments,shares,saves
1,1,Love You So - The King Khan & BBQ Show,"oktoberfest, oktoberfest2023, devilswheel, festival, bullriding, teufelsrad, munich, germany",funny.game.90,25100,225,2482,764
1,2,original sound - hunjoe,,hunjoe,71100,290,5323,1121
1,3,original sound - lara rose,"fyp, skit",littleprincesspoppyy,82000,297,13200,391
1,9,original sound - Upprovement,"toughquestion, cheatonher, snitch, streetinterview, betrayal",upprovement,336000,6552,34000,9365
2,0,original sound - hunjoe,,hunjoe,426100,1535,22800,6650
2,1,original sound - Christian Wulf,real,christiannwulf,2800000,13300,246500,49200
2,2,original sound - Stephen,,stephenmakesvideos,26800,16,425,13
2,3,original sound - AsadaTacoss,"latinos, growingupmexican, mexicanproblems, corridos, hispanicsbelike, mexicanos, latinomemes, growinguphispanic, mexicansbelike, hispanicmemes, latino, spanishpeoplebelike, latinosbelike, hispanic, mexicanfood, bandatelevision, mexicanmemes, growinguplatino, latina, mexican, fyp, fypage%E3%82%B7",asadatacoss,812200,5223,102100,13300
2,4,love maze - ‹ 3,"freenbecky, freen, becky, freensarocha, beckyarmstrong, becca, srchafreen, fy, fyp, foryou, viral, gl, wlw, lgbt, gay, gap, cute, event, uranus, theloyalpin, freenbeck",freenbeckypfk,5257,45,415,23
2,11,original sound - LovelyLo,"warzone, warzone3, callofduty",imlovelylo,31500,78,1847,46
2,13,original sound - hunjoe,,hunjoe,230000,2723,24900,4831
2,16,original sound - tomas.coach,,tomas.coach,57900,145,7146,2151
2,17,Cry by Cigarettes After ___ - Your Audio Girl🎧💕,,marviiin_5,254300,2818,41400,3914
2,19,original sound - Female Rap,"nickiminaj, barbz, viral, taylorswift, kanyewest, rap, fyp%E3%82%B7, fyp, foryou",femalerapquotes,820500,8754,48400,3845
2,21,original sound - wrldforeverjuice,"juicewrld, foryou, 999, juicewrldtok, juice",wrldforeverjuice,246200,1188,29300,1392
2,22,bent instrumental - ⚜️,"aesdr, relatable, viral, fyp, rizz",yourkute,410900,1499,36200,829
2,23,original sound - SH7,"fyp, foryou, sh7gang, wife",editsbysh7,152300,514,9285,12100
2,24,original sound - EX7STENCE™,,claraa.lndz,422500,2138,53000,2631
2,25,original sound - Country Pickinz,,caydencesmithofficial,984800,9117,159900,23900
2,26,sonido original - BoobaTV_ ☑️,"madrid, espa%C3%B1a, yfy, parati",boobatv_,6524,2,446,13
3,0,original sound - Memes!,,memesvid_usa1,990200,3321,99400,71100
3,4,original sound - Jaden cradle,greenscreen,jaden_cradle,157400,659,9923,226
3,5,original sound - jovynn,,redhairgorl,58100,155,7656,130
3,8,original sound - Diego Pinto,@wildernessresort,tristanjass22,25800,252,1891,1548
3,12,original sound - 😘,"fyp, niqchnel, 4u, dcm",niqchnel,183800,470,16000,2025
3,16,original sound - The Official Pat,"fyp%E3%82%B7, relatable, trending, relationship, jordankentrell, darealtaaygo, foryou, foryoupage, viral, fy, viralvideo, viraltiktok",jordankentrell,26400,138,5478,1519
3,17,original sound - mikeymarrero,"fyp, foryou, couple, toxicrelationship",mikeymarrero,782900,2104,84600,15200
3,18,original sound - bedtips,,bedtips,362000,896,42000,11100
3,19,original sound - peace🫡,2024,willitvof17,166600,645,11300,829
3,20,original sound - Lukenizzy,"fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, couplestiktok, couples, blowthisup, foryoupage, funny, lukenizzy",lukenizzy,1200000,5958,100800,43200
3,22,original sound - myah,"kisshoodie, love, fyp, forhim, process",grapejuiceaddictt,68000,1909,12400,2855
4,2,original sound - Levent Geiger,"mashup, singing, fyp, fy",leventgeiger,92600,1291,7254,764
4,5,original sound - emann💕,"fyp%E3%82%B7, makemfamous, blowthisup, viral, emanrizz, rizz",yungemann,254700,669,17700,912
4,6,Stargazing - Marcelo De Carvalho,kingscommunity,kingscommunity,629700,8387,87900,11200
4,7,original sound - 🔊🩶,"relationship, textyou, secrets, flirt, crush, attractive, feelings, boys, advice, turnons, boysfacts, butterflies, girls",ptkadvice,15700,250,2842,558
4,10,Nothing Can Be Explained - Anime de Japan,"fyp, jahsehonfroy, xxxtentacion, foryoupage",illovejahseh,75600,391,9930,315
4,11,original sound - Alexis,"fyp, foryou, foryoupage, viral, alexisdacreator, xyzbca",alexisdacreator,84000,1485,11900,481
4,12,original sound - Buddy bam,"familyguy, kidnapper, fyp, explorepage",zurielnathan,560800,7240,72900,11400
4,15,Simple Pleasantries - Arthur Benson,"breathalyzer, breathalyzertest",stephenmakesvideos,252600,301,6502,140
4,16,Moon - Siggerr,"valentine, crush",iwantacinnamonroll,741900,5004,78100,3553
4,17,original sound - hunjoe,,hunjoe,5917,47,1001,76
4,18,original sound - angelamoments,"jesus, god, love",angelamoments,574800,3769,50400,4164
4,21,1 second count / when button pressed / time signal 03(1107043) - QUESS,"fyp, foryou, foryourpage, blixyz, viral, xyzbca, rizz",blixyzog,232800,807,29700,646
5,0,original sound - georg1aluvvs,"gng, gngedit, ginnyandgeorgia, ginnyandgeorgiaedit, georgia, georgiamiller, georgiamilleredit, viral, fyp, viraltiktok, foryoupage, viralvideo",georg1aluvvs,104800,463,8369,128
5,1,original sound - LOL Podcast,"lolpodcast, thelolpodcast, katebaker, cashbaker, fyp",lolpodcastclipped,125200,247,9453,88
5,2,original sound - TrenTwins,"trentwins, christrennn, gymtok, gymbro, real",outofcontexttren,814400,2158,51700,7302
5,3,original sound - Lev,,lev_cameron,120100,153,5488,145
5,6,You - Petit Biscuit,,savannahraedemers,373600,2261,46900,13400
5,8,original sound - Azra,,azra_lifts_1,83800,218,3848,57
5,10,original sound - Y7,"secrets, boys, advice",_aliios,80700,331,9790,3310
5,12,original sound - Mindful Core,"corecore, coretok, sadcore, mentalhealth",mindful.core,277300,2300,44000,2382
5,14,original sound - Violet,sexxyred,js.userr66,46600,769,10800,1870
5,18,original sound - Mk.Dadoll_,"justice, justiceformysister%E2%9D%A4%EF%B8%8F, justiceforjournee, bigmkway, justiceformysister%E2%9D%A4%EF%B8%8F, mkandjheavelychats",mk.dadoll,58200,819,11100,135
5,19,original sound - Ari 🟣,"fyp%E3%82%B7, sturniolotriplets, sturniolotripletsclips, sturniolotripletstiktok, sturniolotripletsedits, chrissturniolo, nicksturniolo, mattsturniolo, sturniolotripletsfyp, sturniolobrothers, sturniolotripletsedit, fyppppppppppppppppppppppp, foryoupage, mattsturnioloedits, chrissturnioloedits, nicksturnioloedits, sturniolotripletsyoutube",ariishere__,1400000,2355,179400,6196
5,20,original sound - abby :)🔅,"pregnant, findingoutimpregnant, pregnancy, pregnancytest, pregnancytiktok, preggo, fyp, foryourpage, funny, 17, boyfriend",abby.brook3,1500000,7867,70600,9027
5,24,original sound - Michael Sanzone,,sanzone,1500000,874,67700,7335
