batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,lowe.dat - suritasarapist69,"@pkbsbl24, fyp, therealcoolspot, glitch, newtrend, viral, trending, glitchoverlord, glitchapocalypse, new",therealcoolspot,399200,2440,31800,1339
1,1,,"pesopluma, nickinicole, parati, fyp",,94400,235,4138,295
1,2,,"%D0%B2%D1%80%D0%B5%D0%BA%D0%B0%D1%85, %D0%B2%D1%80%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8, garkunfan, __garkundl__",,101100,231,20800,471
1,3,,"joesitalianice, anaheim, customerservice, anaheim, orangecounty, fyp, funny, comedy, jokes, customer, employee, worktiktok, christmas, weekend",,196100,0,14500,292
1,4,,"pawrenting101, pawrents, park, tank, yorkie, yorkiesoftiktok, sweaterweather, hoka, tank_ms, bestdayever",,3700000,8553,200200,139600
1,5,,"rocketleague, rl, rocketleaguehighlights, fyp%E3%82%B7, fyp",,136500,275,10400,1103
1,6,,"mattsturniolo, mattsturnioloedit",,247200,1246,74700,1683
1,7,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,387900,718,24500,342
1,8,,,,424400,1197,37800,3662
2,0,,,,254300,1434,15700,1128
2,1,,"farcry3, gosling55",,171800,1216,11400,5608
2,2,,,,85000,783,3057,739
2,3,,"recipes, asmr, foodtok, fyp%E3%82%B7, primalgourmet, beef, carnemechada",,499200,4066,71900,11500
2,4,,@liammaughan_,,180500,391,11100,457
2,5,,"fyp, relatable, skits, comedy",,204300,1761,6651,3621
2,6,,"fyp, foryou, mariokart8deluxe, gaming, meme, memecut",,430300,2063,45500,47000
2,7,,"fyp%E3%82%B7, foryourpage, foryou, fyp",,213100,542,11600,1939
2,8,,"tarayummy, zachjustice, taraandzach, dropoutspodcast, tarayummyandzachjustice, podcast, aftereffects, edit",,983600,1496,71800,1306
2,9,,fyp,,110500,272,12700,1690
2,10,,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",,302900,528,69800,1298
2,11,,"2%F0%9F%A4%AF, diy, hometheater, basement, construction, basementrenovation, builder, dreamhome, renovation, homeimprovement, wow, goals, carpenter, interiordesign, buildit",,633300,10500,96500,91800
2,12,,"meme, fyp, mascot, dancing, dream, real, relateable, school, job, foryou",,2500000,26500,280300,75100
2,13,,"ootd, fitcheck, outfitinspiration, ootw",,780800,1581,66900,1590
2,14,,,,86400,3101,9892,2710
2,15,,"guns, shorts, jackdaniels, bonelab, gaming",,101300,957,8459,3644
2,16,,"fyp, fortnite, fortniteclips, fortnitemoments, fortnitecompetitive, fortnitepro, fortnitetips",,313000,1414,24100,353
2,17,,,,25200,192,2404,2243
2,18,,"fyp, foryou, funnyvideos, pov, fyp%E3%82%B7, funny, fypage",,236300,738,14300,511
2,19,,"cold, freezing, meme, fyp%E3%82%B7%E3%82%9Aviral, funny, relatable, fastfood",,117000,526,7618,2087
2,20,,"grwm, grwmfail, grwmfails, getreadywithme, grwmskincare, grwmmakeup, grwmmakeupedition, grwmstorytime, skincareroutine, fail, grwmfailed",,171400,1074,15800,177
2,21,,"fyp, youladiesalright%3F, improv, basketball, dub",,685200,1471,55600,1205
2,22,,"fyp, foryou, foryoupage",,6100000,53600,490300,110200
2,23,,"fyp, colorfulhair, viral, sunsethaircolor, zyxcba, hairdye, adorehairdye, newhaircolor, sunsetcolors, purplesunset",,988000,4656,80600,6239
2,24,,,,257000,928,19600,3600
2,25,,"%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%89%D0%B8%D1%82, %D0%BE%D1%81%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B5, %D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D0%BA",,105600,420,10400,9110
2,26,,"%D0%BF%D1%83%D1%82%D0%B8%D0%BD, %D0%BF%D1%80%D0%B8%D0%BD%D1%86, %D1%81%D0%B0%D1%83%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%D0%B0%D1%80%D0%B0%D0%B2%D0%B8%D1%8F",,251600,996,24000,9296
2,27,,"fyp, viral, azul",,487400,2964,57100,6006
2,28,,"fyp, xyzbca, viral",,1900000,9163,156800,17100
3,0,son original - Acoustic Music Song,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",lauren.canty,113100,5945,5992,1687
3,1,оригинальный звук - antarcticx,"joshhutcherson, hutcherson, peeta",izzyinfluence,729800,2637,47300,2054
