batch,index,music,hashtag,author,likes,comments,shares,saves
1,3,original sound - Corn Industry,"freyavondoom, muscle, interview, podcast",corn.industry,122000,1078,14100,14100
1,4,original sound - user73102169903,,martassuw,20000,2144,981,235
1,5,original sound - No Jumper Podcast,"adam22, nojumper, viral, lilpump, lilxan",nojumper,7930,114,511,15
1,7,original sound - Audit,"firstamendmentaudit, longislandaudit, audit",auditclips,75900,2925,4307,306
1,8,All I Want for Christmas Is You - Mariah Carey,"viral, fyp, funny, couple, christmas, boyfriend",andrea.lopez44,402200,1029,29700,11400
1,9,original sound - Vozol_nz,vozol,vozol_newzealand,481,33,53,36
5,5,original sound - wiscoomylfy,"fyp, bassfishing, fishing",wiscoomylfy,58700,7112,2193,1742
5,6,Love songs - ⭐️,,sna_couple_,53600,997,5838,2798
5,8,original sound - katiana,,katiana.kay,491800,1481,52400,1012
5,9,original sound - snowy_pipes,"piperrockelle, piper, viral, viralvideo, fyp",the_squad_bby_piper,449200,1490,38500,696
5,10,origineel geluid - sweeettails_fanpage,"sweeettails, twitch, twitchfails, twitchstreamer, gamergirl, fyp, dinosaur, funny",sweeettails_fanpage,15500,91,970,136
5,11,original sound - MC_Listen,"fyp%E3%82%B7, trending, goviral, mc_listen",mc_listen093,33500,1440,2366,827
5,14,original sound - Noemy,"fyp, funny, viral",noemyiscool_,1900000,6418,169900,23400
5,17,7AM (Slowed + Reverb) - adrian,"relax, relieve, massage, foryou, spa, asmr, treatments, asleep, relievepressure, skintreatment, skincare, facespa, cleanface",sosocool884,4279,95,937,576
5,19,YKWIM? - 东 百 下小 雨,"viral, sad, love, pain, real",silkyslive,301700,5741,42500,2124
5,20,original sound - whistlindiesel clips,"tiktok, whistlindiesel, viral, foryou, foryoupage, truck, new",whistlindieselytbb,25300,86,1664,90
5,21,som original - ₊˚ Ｍ ａ ｈ⚡️,,knz.07_,1900000,5212,180200,41200
5,22,original sound - Lovelymimi,"alfrefo, shrimp, pasta, cooking, foodtiktok",lovelymimi865,35800,288,2566,151
5,23,original sound - Thelolpodcast,,thelolpodcast,147500,478,11700,135
5,24,original sound - dannyberk,"mckameymanor, russmckamey, foryou, fyp, foryoupage, fypage%E3%82%B7, hauntedtiktok, mckameymanortruth",dannyberk,113400,366,15700,1274
5,25,original sound - Jumpers Jump Podcast,"fyp, conspiracy, podcast, jumpersjump",jumpersjump,1100000,2222,77300,1592
5,27,original sound - Breckie Hill,,breckiehill,244100,890,13100,302
